Title	Category		Filename	URL	Date Created	Date
Ep 160 - Mormon-Native Relations 1840-1857 w/Christopher C. Smith Pt.2	History	https://nakedmormonismpodcast.com/episode-160-mormon-native-relations-1840-1857-wchristopher-c-smith-pt-2/	none	https://nakedmormonismpodcast.libsyn.com/ep-160-mormon-native-relations-1840-1857-wchristopher-c-smith-pt2	Fri, 21 Jun 2019 15:37:53 +0000	6/21/2019 15:37:53
Ep 161 - The Mormon Seraglio	History	https://nakedmormonismpodcast.com/episode-161-mormon-seraglio/	Episode 161 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-161-the-mormon-seraglio	Fri, 28 Jun 2019 01:46:15 +0000	6/28/2019 1:46:15
Ep 162 - Walker v. Hoge; Political Chess	History	https://nakedmormonismpodcast.com/episode-162-walker-v-hoge-political-chess/	Episode 162 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-162-walker-v-hoge-political-chess	Fri, 05 Jul 2019 03:00:00 +0000	7/5/2019 3:00:00
Ep 163 - Live and Die by the Law	History	https://nakedmormonismpodcast.com/episode-163-live-die-law/	Episode 163 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/episode-163-live-and-die-by-the-law	Fri, 12 Jul 2019 04:11:17 +0000	7/12/2019 4:11:17
Ep 164 - Blade, Nor Bullet, Nor Poison Can Harm Them	History	https://nakedmormonismpodcast.com/episode-164-blade-bullet-poison-can-harm/	Episode 164 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-164-blade-nor-bullet-nor-poison-can-harm-them	Fri, 19 Jul 2019 03:00:00 +0000	7/19/2019 3:00:00
Ep 165 - Stone Rolling Through Fluid Morality	History	https://nakedmormonismpodcast.com/episode-165-stone-rolling-fluid-morality/	Episode 165 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-165-stone-rolling-through-fluid-morality	Fri, 26 Jul 2019 03:00:00 +0000	7/26/2019 3:00:00
Ep 166 - Joseph Smith’s POTUS Platform & Latter-day Lesbian	History	https://nakedmormonismpodcast.com/episode-166-joseph-smiths-potus-platform-latter-day-lesbian/	Episode 166 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-166-joseph-smiths-potus-platform-latter-day-lesbian	Wed, 31 Jul 2019 13:36:50 +0000	7/31/2019 13:36:50
Ep 167 - The Next Mormons with Jana Riess and Benjamin Knoll	History	https://nakedmormonismpodcast.com/episode-167-next-mormons-jana-riess-benjamin-knoll/	none	https://nakedmormonismpodcast.libsyn.com/ep-167-the-next-mormons-with-jana-riess-and-benjamin-knoll	Fri, 09 Aug 2019 03:00:00 +0000	8/9/2019 3:00:00
Ep 168 - Council of Fifty Pt. 1 William Clayton	History	https://nakedmormonismpodcast.com/episode-168-council-fifty-pt-1-william-clayton/	Episode 168 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-168-council-of-fifty-pt-1-william-clayton	Fri, 16 Aug 2019 03:00:00 +0000	8/16/2019 3:00:00
Ep 169 - Council of Fifty Pt. 2 Conception, Conjugation, Conglomeration	History	https://nakedmormonismpodcast.com/episode-169-council-fifty-pt-2-conception-conjugation-conglomeration/	Episode 169 notes.docx.markdown	https://nakedmormonismpodcast.libsyn.com/ep-169-council-of-fifty-pt-2-conception-conjugation-conglomeration	Fri, 23 Aug 2019 03:00:00 +0000	8/23/2019 3:00:00
